Human milk	"Milk, human, mature, fluid"
"Flavored milk, whole"	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
"Flavored milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Flavored milk, nonfat"	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, reduced fat"	"Milk, NFS"
"Flavored milk, reduced fat"	"Beverages, chocolate powder, no sugar added"
"Flavored milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Flavored milk, whole"	"Beverages, chocolate powder, no sugar added"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Beverages, chocolate powder, no sugar added"
"Flavored milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Beverages, chocolate powder, no sugar added"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Flavored milk, nonfat"	"Beverages, chocolate powder, no sugar added"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Beverages, chocolate powder, no sugar added"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, reduced fat"	"Milk, NFS"
"Flavored milk, reduced fat"	"Syrup, NESTLE, chocolate"
"Flavored milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Flavored milk, whole"	"Syrup, NESTLE, chocolate"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Syrup, NESTLE, chocolate"
"Flavored milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Syrup, NESTLE, chocolate"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Flavored milk, nonfat"	"Syrup, NESTLE, chocolate"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Syrup, NESTLE, chocolate"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, reduced fat"	"Milk, NFS"
"Flavored milk, reduced fat"	"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
"Flavored milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Flavored milk, whole"	"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
"Flavored milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Flavored milk, nonfat"	"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, reduced fat"	"Milk, NFS"
"Flavored milk, reduced fat"	"Syrups, chocolate, HERSHEY'S Sugar free, Genuine Chocolate Flavored, Lite Syrup"
"Flavored milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Flavored milk, whole"	"Syrups, chocolate, HERSHEY'S Sugar free, Genuine Chocolate Flavored, Lite Syrup"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Syrups, chocolate, HERSHEY'S Sugar free, Genuine Chocolate Flavored, Lite Syrup"
"Flavored milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Syrups, chocolate, HERSHEY'S Sugar free, Genuine Chocolate Flavored, Lite Syrup"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Flavored milk, nonfat"	"Syrups, chocolate, HERSHEY'S Sugar free, Genuine Chocolate Flavored, Lite Syrup"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Syrups, chocolate, HERSHEY'S Sugar free, Genuine Chocolate Flavored, Lite Syrup"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, nonfat"	"Beverages, Cocoa mix, powder"
"Flavored milk, nonfat"	"Water, tap, drinking"
"Flavored milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Flavored milk, whole"	"Beverages, Cocoa mix, powder"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Beverages, Cocoa mix, powder"
"Flavored milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Beverages, Cocoa mix, powder"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Flavored milk, nonfat"	"Beverages, Cocoa mix, powder"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Beverages, Cocoa mix, powder"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, nonfat"	"Water, tap, municipal"
"Flavored milk, nonfat"	"Beverages, Cocoa mix, no sugar added, powder"
"Flavored milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Flavored milk, whole"	"Beverages, Cocoa mix, no sugar added, powder"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Beverages, Cocoa mix, no sugar added, powder"
"Flavored milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Beverages, Cocoa mix, no sugar added, powder"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Flavored milk, nonfat"	"Beverages, Cocoa mix, no sugar added, powder"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Beverages, Cocoa mix, no sugar added, powder"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, reduced fat"	"Beverages, milk beverage, reduced fat, flavored and sweetened, Ready-to-drink,  added calcium, vitamin A and vitamin D"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, whole"	"Strawberry-flavor beverage mix, powder"
"Flavored milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Flavored milk, reduced fat"	"Strawberry-flavor beverage mix, powder"
"Flavored milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Flavored milk, lowfat"	"Strawberry-flavor beverage mix, powder"
"Flavored milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Flavored milk, nonfat"	"Strawberry-flavor beverage mix, powder"
"Flavored milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Strawberry-flavor beverage mix, powder"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
"Flavored milk, reduced fat"	"Beverages, OVALTINE, chocolate malt powder"
"Flavored milk, reduced fat"	"Milk, NFS"
Milk shakes and other dairy drinks	Eggnog
Milk shakes and other dairy drinks	"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D"
Milk shakes and other dairy drinks	"Egg, whole, raw, fresh"
Milk shakes and other dairy drinks	"Sugars, powdered"
Milk shakes and other dairy drinks	"Vanilla extract, imitation, no alcohol"
Milk shakes and other dairy drinks	"Milk, whole, 3.25% milkfat, with added vitamin D"
Milk shakes and other dairy drinks	"Ice creams, chocolate"
Milk shakes and other dairy drinks	"Milk, whole, 3.25% milkfat, with added vitamin D"
Milk shakes and other dairy drinks	"Ice creams, vanilla"
Milk shakes and other dairy drinks	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
Milk shakes and other dairy drinks	"Ice creams, chocolate, light"
Milk shakes and other dairy drinks	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
Milk shakes and other dairy drinks	"Ice creams, vanilla, light"
Milk shakes and other dairy drinks	"Milk, whole, 3.25% milkfat, with added vitamin D"
Milk shakes and other dairy drinks	"Ice creams, vanilla"
Milk shakes and other dairy drinks	"Beverages, Malted drink mix, natural, powder, dairy based."
